YEAR,ROUND,A_SEED,A_TEAM,B_SEED,B_TEAM
2022,1,1,Gonzaga,16,Georgia State
2022,1,9,Memphis,8,Boise State
2022,1,12,New Mexico State,5,Connecticut
2022,1,4,Arkansas,13,Vermont
2022,1,6,Alabama,11,Notre Dame
2022,1,3,Texas Tech,14,Montana State
2022,1,10,Davidson,7,Michigan State
2022,1,2,Duke,15,Cal State Fullerton
2022,1,1,Baylor,16,Norfolk State
2022,1,9,Marquette,8,North Carolina
2022,1,12,Indiana,5,St. Mary's (Cal.)
2022,1,4,UCLA,13,Akron
2022,1,6,Texas,11,Virginia Tech
2022,1,3,Purdue,14,Yale
2022,1,10,San Francisco,7,Murray St.
2022,1,2,Kentucky,15,St. Peter's
2022,1,1,Arizona,16,Wright State
2022,1,9,TCU,8,Seton Hall
2022,1,12,Alabama-Birmingham,5,Houston
2022,1,13,Chattanooga,4,Illinois
2022,1,6,Colorado State,11,Michigan
2022,1,3,Tennessee,14,Longwood
2022,1,10,Loyola (Ill.),7,Ohio State
2022,1,2,Villanova,15,Delaware
2022,1,1,Kansas,16,Texas Southern
2022,1,9,Creighton,8,San Diego State
2022,1,5,Iowa,12,Richmond
2022,1,4,Providence,13,South Dakota State
2022,1,11,Iowa State,6,LSU
2022,1,3,Wisconsin,14,Colgate
2022,1,7,Southern California,10,Miami (Fla.)
2022,1,2,Auburn,15,Jacksonville State
