YEAR,SEED,TEAM
2022,1,Gonzaga
2022,16,Georgia State
2022,9,Memphis
2022,8,Boise State
2022,12,New Mexico State
2022,5,Connecticut
2022,4,Arkansas
2022,13,Vermont
2022,6,Alabama
2022,11,Notre Dame
2022,3,Texas Tech
2022,14,Montana State
2022,10,Davidson
2022,7,Michigan State
2022,2,Duke
2022,15,Cal State Fullerton
2022,1,Baylor
2022,16,Norfolk State
2022,9,Marquette
2022,8,North Carolina
2022,12,Indiana
2022,5,St. Mary's (Cal.)
2022,4,UCLA
2022,13,Akron
2022,6,Texas
2022,11,Virginia Tech
2022,3,Purdue
2022,14,Yale
2022,10,San Francisco
2022,7,Murray St.
2022,2,Kentucky
2022,15,St. Peter's
2022,1,Arizona
2022,16,Wright State
2022,9,TCU
2022,8,Seton Hall
2022,12,Alabama-Birmingham
2022,5,Houston
2022,13,Chattanooga
2022,4,Illinois
2022,6,Colorado State
2022,11,Michigan
2022,3,Tennessee
2022,14,Longwood
2022,10,Loyola (Ill.)
2022,7,Ohio State
2022,2,Villanova
2022,15,Delaware
2022,1,Kansas
2022,16,Texas Southern
2022,9,Creighton
2022,8,San Diego State
2022,5,Iowa
2022,12,Richmond
2022,4,Providence
2022,13,South Dakota State
2022,11,Iowa State
2022,6,LSU
2022,3,Wisconsin
2022,14,Colgate
2022,7,Southern California
2022,10,Miami (Fla.)
2022,2,Auburn
2022,15,Jacksonville State
