TEAM,CONF,G,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,YEAR
Kansas,B12,0.9487179487179487,121.4,85.5,.9825,56.6,44.3,19.1,22.4,37.6,29.1,36.4,31,55.4,41.2,39.7,32.8,68.6,9.9,2008
Memphis,CUSA,0.95,117.0,86.1,.9715,52.7,43.4,16.6,22.5,37.8,29.6,40.4,31.7,52.9,42.6,34.9,30.2,70.2,8.9,2008
UCLA,P10,0.9210526315789473,116.2,86.8,.9664,52.2,46.5,19.1,21.8,39.2,27.2,37.3,25.6,52.4,45.4,34.4,32.9,66.1,10.8,2008
North_Carolina,ACC,0.9230769230769231,122.9,91.9,.9659,53,48.2,18.8,21.1,42.5,29,38,25.7,52.1,47.8,37.2,32.6,74.7,11.9,2008
Wisconsin,B10,0.8611111111111112,112.6,85.4,.9600,50.6,43.4,19.5,21.9,36.2,28.6,39.9,25.4,49.3,41.7,35.6,31.3,63.1,8.3,2008
Louisville,BE,0.75,112.1,86.5,.9514,53.1,44.1,20.2,21.7,33.4,30.9,36.5,33.5,53.5,43.1,35,30.5,67.2,4.7,2008
Duke,ACC,0.8235294117647058,115.8,89.9,.9488,53.6,47.6,18.3,24.7,33.9,33.7,40.9,31.9,51.7,47,37.7,32.9,73.5,8.9,2008
Texas,B12,0.8378378378378378,120.6,93.8,.9476,51.5,45.7,14.2,17.9,36.3,33.6,32,31,48.5,43.2,38,33.2,64.7,8.4,2008
Georgetown,BE,0.8235294117647058,113.0,87.9,.9472,56.7,41.9,21.3,19.8,33.1,32.7,34,36,56.2,40.5,38.4,29.6,62.9,7.7,2008
Washington_St_,P10,0.7428571428571429,113.4,89.8,.9359,53.7,46.7,17,21.9,27.8,29.8,38.5,28.4,53,45.3,36.8,33.1,60,4.9,2008
Stanford,P10,0.7777777777777778,112.8,89.8,.9320,49.8,44.3,18.8,17.7,39.1,29.2,39.6,32.8,48,42.1,36.6,33.3,65.1,6.7,2008
Marquette,BE,0.7352941176470589,114.1,91.1,.9304,50.6,46.3,18.7,23.9,38.2,33.4,37.5,41,49,46.7,35.8,30.4,68.6,3.8,2008
Clemson,ACC,0.7272727272727273,113.2,90.4,.9299,51.9,48.1,20.3,24.6,39.8,36.4,30.6,33.8,49.7,49,37.5,30.4,69.6,4.4,2008
Tennessee,SEC,0.8857142857142857,114.6,91.6,.9290,52.4,49.1,18.2,24.7,36.2,34.6,38,39.6,51.5,50.3,35.8,31.2,72.8,9.2,2008
Davidson,SC,0.8285714285714286,114.7,91.7,.9287,54.1,49.3,17.3,24.3,32.4,28.5,26.3,37.3,54.1,47,36.1,35.5,68.4,1.5,2008
Michigan_St_,B10,0.75,114.7,92.7,.9207,52.6,46,21.1,18.9,39.5,31.6,33.5,33.1,51.6,45.6,37.1,31.1,65.3,5.1,2008
Xavier,A10,0.8108108108108109,115.5,93.4,.9205,54.6,47.1,19.8,19.6,35.8,30.1,42.4,31.4,52.2,45.2,39.1,33.6,65.8,4.7,2008
Texas_A_M,B12,0.7142857142857143,112.1,91.1,.9155,52,44.9,19.2,17.4,35,28.1,41.8,26.7,51.2,42.2,35.7,33.8,63.8,3.1,2008
West_Virginia,BE,0.7222222222222222,113.8,92.7,.9138,51.4,48,16.4,22.8,34.4,31.2,36.6,39.7,50.1,45.2,36,35.8,65.6,2.6,2008
Kansas_St_,B12,0.65625,114.5,93.5,.9117,49.5,48.3,20.8,22.2,42.3,30.3,37.4,38.3,50.2,44.9,32,37.2,71.8,1,2008
Drake,MVC,0.9032258064516129,119.3,97.7,.9081,52.6,50.4,18,24.1,36.7,33.1,35.2,23.9,50.5,49.5,36.7,34.5,64.4,5.2,2008
Purdue,B10,0.7352941176470589,110.1,90.5,.9047,49.1,49.1,19.1,26,33.1,30.9,37.1,42.6,45.3,47.6,37.3,34.8,68.5,3.8,2008
Pittsburgh,BE,0.75,116.2,95.9,.9015,50.8,47.9,18.2,20.9,39.3,33.9,36.1,28.6,50.8,46.8,33.8,33.4,65.3,5.3,2008
Connecticut,BE,0.7272727272727273,114.9,95.0,.8992,50.6,44.2,19.4,17.3,39.5,34.2,48.1,23.5,49.5,40.5,36.1,34.8,69,4.3,2008
Arizona,P10,0.5757575757575758,115.5,95.5,.8992,53.9,48.7,18.6,19,27.8,33.4,40.4,30.4,51.2,47.5,39.6,34.5,65.3,1.5,2008
